ba;wt.product;Produkte im Warenkorb, Produktname;E-Commerce > Produkte;Products in shopping basket, Product name;E-Commerce > Products
uc706;wt.gender;Geschlecht [ 1 = male, 2 = female ], URM - Geschlecht;Besucher > URM-Kategorien;Gender [ 1 = male, 2 = female ], URM - Gender;Visitors > URM Categories
uc707;wt.birthday;Geburtstag [ JJJJMMDD ], URM - Geburtstag;Besucher > URM-Kategorien;Date of birth [YYYMMDD], URM - Birthday;Visitors > URM Categories
uc708;;URM - Land;Besucher > URM-Kategorien;URM - Country;Visitors > URM Categories
uc709;;URM - Wohnort;Besucher > URM-Kategorien;URM - City;Visitors > URM Categories
uc710;;URM - Postleitzahl;Besucher > URM-Kategorien;URM - Postal Code;Visitors > URM Categories
uc712;;URM - Hausnummer;Besucher > URM-Kategorien;URM - House Number;Visitors > URM Categories
uc713;;URM - Stammdaten validiert;Besucher > URM-Kategorien;URM - Data validated;Visitors > URM Categories
uc850;;NPS Score;- (Metrik);NPS Score;- (Metric)
uc851;;NPS Score Feedback;Besucher > URM-Kategorien;NPS Score Feedback;Visitors > URM Categories
uc852;;Premium-/Paywall-Nutzerstatus;Besucher > URM-Kategorien;Premium/Paywall user status;Visitors > URM Categories
uc853;;RTA - Cost;- (Metrik);RTA - Cost;- (Metric)
uc854;;RTA - Ad views;- (Metrik);RTA - Ad views;- (Metric)
uc855;;RTA - Ad Clicks;- (Metrik);RTA - Ad Clicks;- (Metric)
uc856;;RTA - Auctions;- (Metrik);RTA - Auctions;- (Metric)
vol;;Lautst„rke [0-255];Navigation > Medien > Medienplayer Lautst„rke;Volume [0-255];Navigation > Media > Media Player Volume
wt_vt;-wird automatisch ausgelesen-;Name des AB-Tests, Variante des AB-Tests [1,2,3?];Navigation > Tests > [Name des Tests];Name of the AB test, AB test variant [1,2,3?];Navigation > Tests > [Name of the test]
x;;Timestamp;n.a.;Time stamp;n.a.
